epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,526.157,0.40013,0.53572,0.80928,0.81535,0.86794,0.92178,0.88167,0.38551,0.75418,0.83567,0.00033032,0.00033032,0.00033032
43,538.198,0.39975,0.52057,0.80657,0.90924,0.84154,0.91446,0.86834,0.3906,0.77213,0.83274,0.000324815,0.000324815,0.000324815
44,550.219,0.38857,0.521,0.80863,0.88599,0.82774,0.9129,0.86787,0.37962,0.78885,0.83998,0.000319311,0.000319311,0.000319311
45,562.352,0.37251,0.5154,0.80274,0.90637,0.81645,0.91214,0.86979,0.36612,0.85505,0.83377,0.000313806,0.000313806,0.000313806
46,574.402,0.39297,0.51129,0.80541,0.90418,0.81209,0.9046,0.86237,0.37246,0.91899,0.82872,0.000308302,0.000308302,0.000308302
47,586.364,0.39397,0.51784,0.81279,0.89905,0.81473,0.89564,0.861,0.36301,0.93285,0.82535,0.000302798,0.000302798,0.000302798
48,598.366,0.39118,0.51919,0.80789,0.93606,0.82592,0.89329,0.84641,0.3584,0.86345,0.82472,0.000297293,0.000297293,0.000297293
49,610.443,0.36075,0.50077,0.8058,0.91526,0.83622,0.895,0.85935,0.35922,0.86707,0.81498,0.000291789,0.000291789,0.000291789
50,623.176,0.39629,0.50135,0.80732,0.87908,0.86621,0.895,0.86388,0.33985,0.81103,0.80872,0.000286284,0.000286284,0.000286284
51,636.192,0.39137,0.50288,0.80688,0.90885,0.85486,0.88822,0.85704,0.3313,0.79341,0.80857,0.00028078,0.00028078,0.00028078
52,650.022,0.38339,0.48374,0.80094,0.93247,0.83447,0.89042,0.85755,0.33923,0.79384,0.82038,0.000275276,0.000275276,0.000275276
53,664.736,0.37369,0.48028,0.80199,0.85877,0.8599,0.89893,0.86122,0.34027,0.80596,0.821,0.000269771,0.000269771,0.000269771
54,677.726,0.37043,0.49596,0.80028,0.88999,0.81435,0.89957,0.87076,0.34804,0.82678,0.82589,0.000264267,0.000264267,0.000264267
55,691.016,0.37059,0.47536,0.80022,0.85552,0.81757,0.90036,0.88871,0.33305,0.80318,0.81834,0.000258762,0.000258762,0.000258762
56,702.948,0.37452,0.46455,0.79573,0.92231,0.83244,0.90689,0.87707,0.3249,0.77096,0.81432,0.000253258,0.000253258,0.000253258
57,714.774,0.35787,0.46136,0.80101,0.89048,0.8367,0.90562,0.87616,0.31844,0.77025,0.81613,0.000247754,0.000247754,0.000247754
58,726.706,0.36541,0.48855,0.80058,0.93572,0.80633,0.89665,0.8707,0.32394,0.78013,0.81535,0.000242249,0.000242249,0.000242249
